cluster	ontology	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	ONTOLOGY
2	KEGG	Metabolism	Biosynthesis of other secondary metabolites	eco00521	Streptomycin biosynthesis - Escherichia coli K-12 MG1655	3/133	9/1769	0.333333333	4.43358396	2.943661674	0.024939349	0.185911511	0.157511678	rfbD/rfbB/rfbC	3	NA
1	GO	NA	NA	GO:0046930	pore complex	6/257	19/3002	0.315789474	3.688715953	3.596859575	0.003874837	0.147045368	0.134595303	nanC/cusC/ompC/ompA/ompF/ompG	6	CC
1	GO	NA	NA	GO:1990104	DNA bending complex	3/257	May-02	0.6	7.008560311	4.113774109	0.005445487	0.147045368	0.134595303	hns/hupB/hupA	3	CC
1	GO	NA	NA	GO:0009279	cell outer membrane	20/257	129/3002	0.15503876	1.810997496	2.880546834	0.005763236	0.147045368	0.134595303	tolC/nanC/lpoA/cusC/elfC/yfeN/ompC/yqhH/ompA/pgaA/ydiY/lpp/bamB/ompF/ompG/cirA/pgpB/yfaZ/bamC/digH	20	CC
1	GO	NA	NA	GO:0030312	external encapsulating structure	21/257	139/3002	0.151079137	1.764745402	2.824502644	0.006393277	0.147045368	0.134595303	mrcB/tolC/nanC/lpoA/cusC/elfC/yfeN/ompC/yqhH/ompA/pgaA/ydiY/lpp/bamB/ompF/ompG/cirA/pgpB/yfaZ/bamC/digH	21	CC
1	GO	NA	NA	GO:0019867	outer membrane	20/257	136/3002	0.147058824	1.71778439	2.620919943	0.010393779	0.19124554	0.175053126	tolC/nanC/lpoA/cusC/elfC/yfeN/ompC/yqhH/ompA/pgaA/ydiY/lpp/bamB/ompF/ompG/cirA/pgpB/yfaZ/bamC/digH	20	CC
3	GO	NA	NA	GO:0009246	enterobacterial common antigen biosynthetic process	7/285	Nov-98	0.636363636	7.363955343	6.501386	8.17E-06	0.004185083	0.004087306	ycfT/wecC/wecE/wecB/wecF/wzzE/wzxE	7	BP
3	GO	NA	NA	GO:0046378	enterobacterial common antigen metabolic process	7/285	Nov-98	0.636363636	7.363955343	6.501386	8.17E-06	0.004185083	0.004087306	ycfT/wecC/wecE/wecB/wecF/wzzE/wzxE	7	BP
3	GO	NA	NA	GO:0005976	polysaccharide metabolic process	23/285	117/3298	0.196581197	2.274823812	4.317611888	1.14E-04	0.038816689	0.037909804	waaQ/ycfT/glgP/wecC/yjbG/wecE/wecB/wecF/glgX/waaG/rfbA/ugd/wzzE/lpxP/wzxE/etk/arnC/yjbE/wcaD/nfrB/bcsZ/wbbL/lpxM	23	BP
3	GO	NA	NA	GO:0000271	polysaccharide biosynthetic process	20/285	105/3298	0.19047619	2.204177109	3.856274098	4.95E-04	0.126922647	0.123957317	waaQ/ycfT/wecC/yjbG/wecE/wecB/wecF/waaG/rfbA/ugd/wzzE/lpxP/wzxE/etk/arnC/yjbE/wcaD/nfrB/wbbL/lpxM	20	BP
3	GO	NA	NA	GO:0016051	carbohydrate biosynthetic process	22/285	125/3298	0.176	2.036659649	3.633611594	8.18E-04	0.167676271	0.163758803	waaQ/ycfT/wecC/yjbG/wecE/wecB/wecF/ppc/waaG/rfbA/ugd/wzzE/lpxP/wzxE/etk/arnC/yjbE/wcaD/nfrB/wbbL/yggF/lpxM	22	BP
3	pathways	NA	NA	superpathway of enterobacterial common antigen biosynthesis	superpathway of enterobacterial common antigen biosynthesis	Jun-95	11/1189	0.545454545	6.826794258	5.718929501	7.43E-05	0.011514567	0.011182228	wecC/wecE/wecF/rfbA/wzxE/rffC	6	NA
4	KEGG	Human Diseases	Drug resistance: antimicrobial	eco01501	beta-Lactam resistance - Escherichia coli K-12 MG1655	6/155	17/1769	0.352941176	4.028083491	3.886695071	0.002251059	0.189088943	0.189088943	acrB/oppC/acrA/ampG/ampC/oppD	6	NA
4	GO	NA	NA	GO:0098754	detoxification	18/325	70/3298	0.257142857	2.609406593	4.499370252	9.29E-05	0.066074361	0.065354301	yiiM/emrE/acrB/acrA/hcp/acrE/acrF/emrA/yfcF/frmB/cusF/paoC/frmA/yeiG/ahpC/mdtL/mdtK/ahpF	18	BP
4	GO	NA	NA	GO:0009636	response to toxic substance	20/325	84/3298	0.238095238	2.416117216	4.34629909	1.23E-04	0.066074361	0.065354301	yiiM/emrE/acrB/acrA/hmp/hcp/acrE/acrF/emrA/yfcF/frmB/cusF/paoC/frmA/yeiG/ahpC/mdtL/mdtK/ahpF/yedA	20	BP
4	GO	NA	NA	GO:0044248	cellular catabolic process	40/325	241/3298	0.165975104	1.684264283	3.647441819	4.71E-04	0.159261707	0.157526117	ilvA/garR/tdcE/glxK/gntT/murR/tnaB/paaZ/ldcC/yiiM/dgoT/ydiJ/nanK/ygcQ/yfcF/kduI/frmB/lgoD/prpR/pgpC/cdh/nanQ/paaC/tdcG/frmA/yeiG/fadI/dkgB/poxB/pgpA/ahpC/prpB/mhpD/ppx/anmK/aldA/ulaE/ahpF/dkgA/dcyD	40	BP
4	GO	NA	NA	GO:0023019	signal transduction involved in regulation of gene expression	3/325	Mar-98	1	10.14769231	5.240203653	9.49E-04	0.159261707	0.157526117	fecA/glnL/fecR	3	BP
4	GO	NA	NA	GO:0046292	formaldehyde metabolic process	3/325	Mar-98	1	10.14769231	5.240203653	9.49E-04	0.159261707	0.157526117	frmB/frmA/yeiG	3	BP
4	GO	NA	NA	GO:0046294	formaldehyde catabolic process	3/325	Mar-98	1	10.14769231	5.240203653	9.49E-04	0.159261707	0.157526117	frmB/frmA/yeiG	3	BP
4	GO	NA	NA	GO:0110095	cellular detoxification of aldehyde	4/325	Jun-98	0.666666667	6.765128205	4.672597594	0.001183002	0.159261707	0.157526117	frmB/paoC/frmA/yeiG	4	BP
4	GO	NA	NA	GO:0110096	cellular response to aldehyde	4/325	Jun-98	0.666666667	6.765128205	4.672597594	0.001183002	0.159261707	0.157526117	frmB/paoC/frmA/yeiG	4	BP
4	GO	NA	NA	GO:0009986	cell surface	7/303	20/3002	0.35	3.467656766	3.709358426	0.002420535	0.191845371	0.177797197	flu/yfaL/acrB/acrA/acrE/acrF/emrA	7	CC
4	GO	NA	NA	GO:0009288	bacterial-type flagellum	9/303	33/3002	0.272727273	2.702070207	3.293686128	0.004170552	0.191845371	0.177797197	fliH/flgL/fliF/fliM/motB/fliP/fliD/fliG/ycgR	9	CC
4	GO	NA	NA	GO:1990281	efflux pump complex	5/303	14/3002	0.357142857	3.538425271	3.189267694	0.009418855	0.199646089	0.185026696	acrB/acrA/acrE/acrF/emrA	5	CC
4	GO	NA	NA	GO:0009425	bacterial-type flagellum basal body	7/303	26/3002	0.269230769	2.667428281	2.860686349	0.012087273	0.199646089	0.185026696	fliH/fliF/fliM/motB/fliP/fliG/ycgR	7	CC
4	GO	NA	NA	GO:0120100	bacterial-type flagellum motor	3/303	Jun-02	0.5	4.95379538	3.24766915	0.01615048	0.199646089	0.185026696	fliM/motB/fliG	3	CC
4	GO	NA	NA	GO:0005576	extracellular region	5/303	16/3002	0.3125	3.096122112	2.816336468	0.01736053	0.199646089	0.185026696	flu/yfaL/flgL/mpl/fliD	5	CC
4	GO	NA	NA	GO:0009897	external side of plasma membrane	5/303	16/3002	0.3125	3.096122112	2.816336468	0.01736053	0.199646089	0.185026696	acrB/acrA/acrE/acrF/emrA	5	CC
4	GO	NA	NA	GO:0098567	periplasmic side of plasma membrane	5/303	16/3002	0.3125	3.096122112	2.816336468	0.01736053	0.199646089	0.185026696	acrB/acrA/acrE/acrF/emrA	5	CC
4	pathways	NA	NA	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (glutathione-dependent)	3/100	3/1189	1	11.89	5.720585001	5.79E-04	0.093740501	0.093740501	frmB/frmA/yeiG	3	NA
