Pathways	Genes of pathway
superpathway of methylglyoxal degradation	gloA // gloB // yeiG // gloC // dld // gpr // dkgB // dkgA // yeaE // yqhD // gldA // aldA // lldD
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	folK // folB // nudB // folE
L-threonine degradation III (to methylglyoxal)	yiaY // tdh // tynA
cyanate degradation	cynT // cynS
L-lysine biosynthesis I	dapF // lysA // dapE // argD // serC // dapD // dapA // asd // lysC // dapB
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	murA // murB // murF // murC // murD // murI // murE // ddlA // ddlB
nitrate reduction VIII (dissimilatory)	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // narI // narH // narG // narV // narZ // narY
NAD salvage pathway II (PNC IV cycle)	nadD // pncC // nadE
cadaverine biosynthesis	cadA // ldcC
salvage pathways of pyrimidine deoxyribonucleotides	cdd // deoA // ppnP // tdk
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	mhpC // mhpB // mhpA // hcaB // hcaE // hcaF // hcaD // hcaC // mhpD // mhpE // eutE // mhpF
D-lactate to cytochrome <i>bo</i> oxidase electron transfer	dld // cyoC // cyoB // cyoA // cyoD
peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	murG // mraY // murA // murB // murF // murC // murD // murI // murE // ddlA // ddlB // murJ // ftsW // mrdB // mtgA // pbpC // mrcB // mrcA
L-alanine biosynthesis III	iscS // thiS
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	carA // carB // pyrI // pyrB // pyrC // pyrE // pyrF // pyrD // pyrH // ndk // adk // pyrG
superpathway of ornithine degradation	speF // patD // patA // puuD // puuC // puuB // puuA
QseBC Two-Component Signal Transduction System, quorum sensing related	qseB // qseC
glucose and glucose-1-phosphate degradation	yigL // yidA // ybiV // yihX // pgm // glk // gcd
formate to dimethyl sulfoxide electron transfer	fdnG // fdnH // fdnI // fdoI // fdoH // fdoG // dmsC // dmsB // dmsA
D-fructuronate degradation	uxuB // uxuA // kdgK // eda
L-homoserine biosynthesis	lysC // asd // thrA // metL
UDP-<i>N</i>-acetyl-&alpha;-D-mannosamine biosynthesis	wecB
polyisoprenoid biosynthesis (<i>E. coli</i>)	ispA // ispU // bacA // ybjG // pgpB // ispB
superpathway of purine deoxyribonucleosides degradation	deoD // add // deoB // deoC // eutE // adhE // mhpF
cytochrome <i>c</i> biogenesis (system I type)	ccmH // ccmF // ccmG // yidC // secY // secG // secE // yajC // secF // secD // ccmA // ccmB // ccmD // ccmC // trxC // trxA // dsbD // ccmE // torC // nrfA // torY // napC // nrfB // ccp // dsbA
phenylacetate degradation I (aerobic)	paaH // paaB // paaC // paaA // paaE // paaJ // paaG // paaZ // paaK // paaF
superpathway of thiamine diphosphate biosynthesis I	thiD // thiC // thiL // thiE // thiG // dxs // thiF // thiH // iscS // fdx // thiS // thiI
superpathway of glycolysis and the Entner-Doudoroff pathway	eda // edd // crr // ptsG // manX // manY // manZ // gpmA // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // ppsA // kduI // pgi // pfkB // pfkA // fbaA // fbaB // tpiA // gapA // pgk // gpmM // eno // pykA // pykF // zwf // pgl
ubiquinol-8 biosynthesis (anaerobic)	ubiE // ubiG // ubiD // ubiA // ubiU // ubiV
glycine biosynthesis I	glyA
hydrogen to fumarate electron transfer	frdD // frdC // frdB // frdA // hybC // hybO // hybB // hybA
fructoselysine and psicoselysine degradation	frlB // frlD // frlC
5-aminoimidazole ribonucleotide biosynthesis II	purF // purD // purL // purM // purT
EnvZ/OmpR Two-Component Signal Transduction System	envZ // ompR
adenine and adenosine salvage II	apt // rihC
ethanol degradation I	adhP // eutE // adhE // mhpF
taurine degradation IV	tauD
superpathway of L-tryptophan biosynthesis	aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD // trpC // trpD // trpE // trpA // trpB
superpathway of L-serine and glycine biosynthesis I	glyA // serC // serB // ydiJ // serA
propanoyl CoA degradation I	scpA
superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	lpxB // lpxK // lpxH // lpxD // lpxC // lpxA // kdsB // kdsC // kdsA // kdsD // gutQ // waaA // lpxL // lpxM // waaC // waaF // waaY // waaB // waaO // waaJ // waaU // waaP // waaQ // waaG // acpP
superpathway of enterobacterial common antigen biosynthesis	rffC // wecE // rfbA // rffH // rffG // wecC // rffM // wecF // wecA // wzxE // wzyE
heme <i>b</i> biosynthesis II (oxygen-independent)	hemH // hemE // hemN // hemG
autoinducer AI-2 biosynthesis I	mtn // luxS
superpathway of tetrahydrofolate biosynthesis	folP // folC // folA // folM // folK // folB // nudB // folE // pabA // pabB // pabC
chorismate biosynthesis from 3-dehydroquinate	aroC // aroA // aroL // aroK // aroE // aroD
NAD <i>de novo</i> biosynthesis I	nadD // nadE // nadC // nadA // nadB
cytidylyl molybdenum cofactor biosynthesis	mocA
demethylmenaquinol-8 biosynthesis I	menA
superpathway of fucose and rhamnose degradation	fucA // fucK // fucI // fucU // rhaD // rhaB // rhaA // rhaM // aldA // lldD // fucO
chemotaxis signal transduction	cheY // cheB // cheA
PhoQP Two-Component Signal Transduction System, magnesium-dependent	phoP // phoQ
sulfoquinovosyl diacylglycerides and sulfoquinovosyl glycerol degradation	yihQ
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	nanE // nanK // nanM // nanQ // nanA
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	mazG // dut // nudI // thyA // tmk // ndk // adk // nrdF // nrdE // nrdB // nrdA // trxC // trxA
fatty acid &beta;-oxidation I (generic)	fadE // fadA // fadI // fadB // fadJ
L-idonate degradation	idnO // idnK // idnD
ketogluconate metabolism	idnO // idnK // idnD // dkgB // dkgA // ghrB
L-alanine degradation I	malY // metC // alr // dadX // dadA
L-leucine biosynthesis	leuB // dmlA // ilvE // tyrB // leuA // leuD // leuC
biotin biosynthesis from 8-amino-7-oxononanoate I	bidA // bioD // bioA // bioB // thiS // fdx
superpathway of UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis	wecB // wecC
preQ<sub>0</sub> biosynthesis	folE // queD // queE // queC
GDP-mannose biosynthesis	kduI // pgi // manA // cpsG // cpsB
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	gmd // fcl
L-ascorbate degradation I (bacterial, anaerobic)	ulaE // ulaD // ulaF // ulaG // ulaA // ulaB // ulaC
superpathway of 5-aminoimidazole ribonucleotide biosynthesis	purN // purF // purD // purL // purM // purT
DpiBA Two-Component Signal Transduction System	dpiA // dpiB
pyrimidine deoxyribonucleotides dephosphorylation	mazG // dut // nudI // nudG
colanic acid (<i>Escherichia coli</i> K12) biosynthesis	wcaJ // wcaI // wcaF // wcaE // wcaC // wcaB // wcaL // wcaK // wzxC // wcaD // wcaA
ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	hldE // gmhB // rfaD // gmhA
pyrimidine ribonucleosides salvage III	rihA // rihB // rihC // codA
bis(guanylyl molybdenum cofactor) biosynthesis	mobA
gluconeogenesis I	kduI // pgi // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // fbaA // fbaB // gapA // pgk // gpmM // eno // pck // mdh // ppsA // maeA // maeB // tpiA
NtrBC Two-Component Regulatory System	glnL // glnG
NADH to cytochrome <i>bo</i> oxidase electron transfer I	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // cyoC // cyoB // cyoA // cyoD
D-galactonate degradation	dgoK // dgoA // dgoD
L-aspartate degradation II (aerobic)	dcuA // glnA // aspA
superpathway of pyrimidine nucleobases salvage	pyrH // ndk // adk // pyrG // upp
queuosine biosynthesis I (<i>de novo</i>)	queF // tgt // queA // queG
guanylyl molybdenum cofactor biosynthesis	mobA
aminopropylcadaverine biosynthesis	speE // cadA // ldcC // speD
superpathway of L-threonine metabolism	ltaE // eutE // adhE // mhpF // tynA // yiaY // tdh // kbl // tdcE // pflB // grcA // pta // tdcD // ackA // ilvD // ilvE // ilvC // ilvH // ilvI // ilvM // ilvG // ridA
pentose phosphate pathway (oxidative branch) I	pgl // zwf // gnd
glycine degradation	glyA // gcvT // gcvH // gcvP // lpd // sdaB // tdcB // sdaA // tdcG
proline degradation	putA
DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent	dcuR // dcuS
L-valine biosynthesis	ilvD // ilvE // ilvC // ilvN // ilvB // ilvM // ilvG // ilvH // ilvI
polycistronic tRNA processing II	rnt // pcnB // rnc // rph // pnp // rnb // rnpA // rnpB
thiazole component of thiamine diphosphate biosynthesis I	thiG // dxs // thiF // thiH // iscS // fdx // thiS // thiI
superpathway of chorismate metabolism	ubiC // ubiF // ubiH // ubiG // ubiI // ubiD // ubiA // ispB // ispA // trpC // trpD // trpE // trpA // trpB // aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD // tyrB // aspC // ilvE // pheA // tyrA // entA // acpT // acpS // serS // thrS // alaS // entE // entD // menE // menC // menD // menH // menB // menI // menA // ubiE // folP // folC // folA // folM // folK // folB // nudB // folE // pabA // pabB // pabC // entB // entF
L-fucose degradation I	fucA // fucK // fucI // fucU
lipid A-core biosynthesis (<i>E. coli</i> K-12)	waaC // waaF // waaY // waaB // waaO // waaJ // waaU // waaP // waaQ // waaG
pseudouridine degradation	psuG // psuK
NADH to cytochrome <i>bd</i> oxidase electron transfer II	ndh // cydH // cydX // cydB // cydA
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	guaB // guaA // gmk // nrdB // nrdA // nrdD // nrdF // nrdE // ndk // adk // trxC // trxA // nrdH
molybdenum cofactor biosynthesis	mog // modA // modB // modC // sbp // cysP // cysU // cysW // cysA // moeA
NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	hypD // hypF // hycI // hybD // slyD // hypC // hypE // hycE // hypB // hypA
NADH to trimethylamine <i>N</i>-oxide electron transfer	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // torA // torC
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	aceB // aceA // maeA // mdh // fumC // fumB // fumA // fumD // fumE // sucC // sucD // sucB // sucA // icd // gltA // acnA // acnB // sdhD // sdhC // sdhB // sdhA // mqo // crr // ptsG // manX // manY // manZ // gpmA // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // ppsA // kduI // pgi // pfkB // pfkA // fbaA // fbaB // tpiA // gapA // pgk // gpmM // eno // pykA // pykF // lpd // aceF // aceE
adenine and adenosine salvage III	xapA // deoD // ppnP // yfiH // add // hpt // gpt
glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	glpD // cyoC // cyoB // cyoA // cyoD
D-galacturonate degradation I	uxaA // kdgK // uxaB // uxaC // eda
alanine racemization	malY // metC // alr // dadX
CDP-diacylglycerol biosynthesis II	gpsA // plsC // cdsA // plsB // acpP
UhpBA Two Component Signal Transduction System	uhpA // uhpB
L-glutamate degradation II	aspC // aspA
L-ornithine biosynthesis I	argA // argB // argC // argD // gabT // argE
chitobiose degradation	chbG // chbF
adenosine ribonucleotides <i>de novo</i> biosynthesis	purA // purB // adk
enterobactin biosynthesis	entC // entA // acpT // acpS // serS // thrS // alaS // entE // entD // entB // entF
galactitol degradation	pfkB // kbaY // gatY // gatD // gatA // gatB // gatC
ribose phosphorylation	rbsK // fucU // rbsD
fatty acid elongation -- saturated	fabA // fabZ // fabG // fabB // fabF // fabI // acpP
succinate to cytochrome <i>bo</i> oxidase electron transfer	sdhD // sdhC // sdhB // sdhA // cyoC // cyoB // cyoA // cyoD
Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)	waaA
L-arginine biosynthesis I (via L-ornithine)	argG // argH // argI // argF // carA // carB // argA // argB // argC // argD // gabT // argE
NADH to hydrogen peroxide electron transfer	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // ccp
arsenic detoxification VI (<i>E. coli</i>)	arsC // pitA // pitB // arsB // pstS // pstC // pstA // pstB // grxC // nrdH // grxB // grxA
BasSR Two-Component Signal Transduction System	basS // basR
fatty acid biosynthesis initiation (type II)	fabD // fabH // accD // accA // acpP
purine ribonucleosides degradation	add // yfiH // deoD // xapA // ppnP // deoB
glyoxylate cycle	maeA // mdh // aceB // aceA // gltA // acnA // acnB
polycistronic tRNA processing I	rne // rnpA // rnpB // rbn // rnd // rnt // rph
guanine and guanosine salvage III	gsk
salvage pathways of pyrimidine ribonucleotides	upp // ndk // adk // udp // ppnP // cdd // codA // udk // cmk
L-cysteine degradation III	aspC // sseA // trxA // trxC
Superpathway of monocistronic tRNA processing (<i>E. coli</i>)	rne // rnb // rnpA // rnpB // rbn // rnd // rph // pnp
L-threonine degradation I	tdcE // pflB // grcA // pta // tdcD // ackA // tdcB // ridA
oleate &beta;-oxidation	tesB // fadM // fadD // fadI // fadA // fadE // fadJ // fadB // atoB
formaldehyde oxidation II (glutathione-dependent)	frmB // yeiG // frmA
PhoRB Two-Component Signal Transduction System, phosphate-dependent	phoB // phoR
inosine-5'-phosphate biosynthesis I	purC // purB // purH // purE // purK
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	purA // purB // adk // nrdB // nrdA // nrdF // nrdE // ndk // nrdD // trxC // trxA // nrdH
hydrogen to trimethylamine N-oxide electron transfer	torA // torC // hybC // hybO // hybB // hybA
L-arabinose degradation I	araA // araD // araB
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	glmU // glmS // glmM // kduI // pgi
ATP biosynthesis	atpD // atpG // atpA // atpH // atpC // atpB // atpF // atpE
dTDP-L-rhamnose biosynthesis	rfbC // rfbD // rfbA // rffH // rfbB
L-methionine biosynthesis I	metA // metE // metB // metH // metC // malY
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	dcd // mazG // dut // nudI // thyA // tmk // ndk // adk // nrdD
polycistronic tRNA processing IV	rbn // rnd // rnt // rph // rnpA // rnpB // pnp // rnb
<i>S</i>-methyl-5'-thioadenosine degradation IV	mtn
melibiose degradation	melA
mixed acid fermentation	mdh // icd // acnB // gltA // frdD // frdC // frdB // frdA // hycE // hycB // hycG // hycF // hycC // hycD // fdhF // ppc // fumC // fumB // fumA // fumD // fumE // ldhA // pykA // pykF // adhP // eutE // adhE // grcA // tdcE // pflB // ackA // pta // eutD // fdx
pyrimidine deoxyribonucleotide phosphorylation	tmk // cmk // ndk // adk
aspartate superpathway	thrB // thrC // aspC // dapF // lysA // dapE // argD // serC // dapD // dapA // asd // lysC // dapB // metA // metE // metB // metH // metC // malY // nadD // nadE // nadC // nadA // nadB // metK
pyridoxal 5'-phosphate biosynthesis I	pdxH // epd // dxs // pdxJ // pdxB // serC // pdxA
chorismate biosynthesis I	aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD
superpathway of L-threonine biosynthesis	lysC // asd // thrA // metL // thrB // thrC // aspC
5-(methoxycarbonylmethoxy)uridine biosynthesis	cmoB // cmoA // cmoM // trhO // trmL
sedoheptulose bisphosphate bypass	pfkA // fbaA
peptidoglycan recycling I	murQ // anmK // nagZ // ampD // amiD // nagA // glmM // glmU // ldcA // mpl // murA // murB // ampG // emtA // mltA // mltB // mltC // mltD // slt // mltF
folate transformations III (<i>E. coli</i>)	folA // folM // fau // metF // metH // gcvT // gcvH // gcvP // lpd // folD // glyA // thyA
hydrogen production V	hycE // hycB // hycG // hycF // hycC // hycD // fdhF // fdx
L-phenylalanine biosynthesis I	tyrB // aspC // ilvE // pheA // tyrA
superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis (<i>E. coli</i>)	waaA // lpxB // lpxK // lpxH // lpxD // lpxC // lpxA // lpxL // lpxP // lpxM // kdsB // kdsC // kdsA // kdsD // gutQ // acpP
lactose degradation III	bglX // lacZ
L-galactonate degradation	lgoD
superpathway of polyamine biosynthesis I	cadA // ldcC // speE // speD // speC // speA // speB
CusSR Two-Component Signal Transduction System	cusS // cusR
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	thiD // thiC
<i>sn</i>-glycerol 3-phosphate anaerobic respiration	glpD // napA // napB // napH // napG
nitrate reduction VIIIb (dissimilatory)	ndh // narI // narH // narG
L-cysteine degradation II	metC // malY // cysK // cysM // tnaA // cyuA // ridA
formate to nitrite electron transfer	fdnG // fdnH // fdnI // fdoI // fdoH // fdoG // nrfC // nrfD // nrfA
4-aminobutanoate degradation II	gabT // gabD
superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	ubiC // ubiF // ubiE // ubiH // ubiG // ubiI // ubiD // ubiA // ispB // ispA
L-cysteine biosynthesis I	cysE // cysK // cysM
dTDP-<i>N</i>-acetylthomosamine biosynthesis	rffC // wecE // rfbA // rffH // rfbB // rffG
methylerythritol phosphate pathway I	dxs // dxr // ispD // ispE // ispF // idi // ispG // ispH // fldA // fldB
xanthine and xanthosine salvage	gpt // deoD // xapA // ppnP
glycine cleavage	gcvH // gcvP // lpd // gcvT
superpathway of histidine, purine, and pyrimidine biosynthesis	hisD // hisC // hisB // hisF // hisH // hisA // hisI // hisG // purF // purD // purL // purM // purT // purC // purH // purE // purK // guaB // guaA // gmk // purA // purB // nrdB // nrdA // nrdF // nrdE // nrdD // carA // carB // pyrI // pyrB // pyrC // pyrE // pyrF // pyrD // pyrH // ndk // adk // pyrG // prs // trxC // trxA // nrdH
BaeSR Two-Component Signal Transduction System	baeR // baeS
nitrate reduction III (dissimilatory)	fdnG // fdnH // fdnI // fdoI // fdoH // fdoG // narI // narH // narG // narV // narZ // narY
L-tryptophan biosynthesis	trpC // trpD // trpE // trpA // trpB
thiamine diphosphate salvage V	thiM // thiE // thiL
L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	cysM // cysE // nrdH // grxC // grxA // grxB
L-glutamate biosynthesis III	gdhA
phosphatidylserine and phosphatidylethanolamine biosynthesis I	pssA // psd
L-ascorbate degradation II (bacterial, aerobic)	lyxK // yiaK // sgbH // sgbU // sgbE
glycerol-3-phosphate to hydrogen peroxide electron transport	glpC // glpB // glpA // ccp
tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)	mnmC // mnmA // tusD // tusC // tusB // tusA // mnmG // mnmE // selU // tusE // iscS
L-isoleucine biosynthesis I (from threonine)	ilvD // ilvE // ilvC // ilvH // ilvI // ilvM // ilvG // ilvA // ridA
L-glutamine degradation I	pyrG // guaA // hisF // hisH // gltB // gltD // pabA // pabB // trpD // trpE // asnB // carA // carB // glsB // glsA
2-oxoglutarate decarboxylation to succinyl-CoA	lpd // sucB // sucA
D-galactarate degradation I	garL // garR // garD // garK // glxK
poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine biosynthesis	pgaC // pgaD // pgaB // pgaA
2-hydroxypenta-2,4-dienoate degradation	mhpD // mhpE // eutE // mhpF
acetate conversion to acetyl-CoA	acs
(aminomethyl)phosphonate degradation	phnO // phnI // phnM // phnJ // phnP // phnN // apt // ppa // phoA
NADH to fumarate electron transfer	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // frdD // frdC // frdB // frdA
uroporphyrinogen-III I (from glutamate)	hemD // hemC // hemB // hemL // hemA // gltX // gltV // gltW // gltT // gltU
superpathway of aromatic amino acid biosynthesis	trpC // trpD // trpE // trpA // trpB // aroB // aroG // aroH // aroF // aroC // aroA // aroL // aroK // aroE // aroD // tyrB // aspC // ilvE // pheA // tyrA
methylglyoxal degradation I	gloA // gloB // yeiG // gloC // dld
L-tyrosine biosynthesis I	tyrB // aspC // pheA // tyrA
NAD salvage pathway I (PNC VI cycle)	nadD // pncB // pncA // nadE
L-aspartate degradation III (anaerobic)	dcuA // dcuB // aspA // glnA
superpathway of 4-aminobutanoate degradation	sad // puuC // gabD
thiamine diphosphate salvage II	thiM // thiE // thiL // pdxK // thiD
glycine betaine biosynthesis I (Gram-negative bacteria)	betA // betB
NarQ Two-Component Signal Transduction System, nitrate dependent	narP // narQ // narL
L-lyxose degradation	rhaA // lyxK // sgbU // araD // sgbE
purine deoxyribonucleosides degradation I	deoD // add
L-threonine degradation II	yiaY // tdh // kbl
